SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 10-Jun-2019, 37.85, 37.50, 38.90, 37.45, 37.55, 37.80, 37.84, 20994, 7.94, 346, 10445, 49.75
21STCENMGM, EQ, 10-Jun-2019, 18.00, 18.00, 18.00, 17.65, 17.65, 17.65, 17.72, 621, 0.11, 18, 621, 100.00
3IINFOTECH, EQ, 10-Jun-2019, 3.35, 3.35, 3.40, 3.30, 3.35, 3.30, 3.33, 991389, 33.01, 451, 680928, 68.68
3MINDIA, EQ, 10-Jun-2019, 22497.55, 22497.55, 22699.95, 22395.00, 22601.00, 22608.20, 22506.71, 1493, 336.03, 464, 1038, 69.52
3PLAND, BE, 10-Jun-2019, 9.50, 9.05, 9.95, 9.05, 9.95, 9.95, 9.66, 1560, 0.15, 8, -, -
5PAISA, EQ, 10-Jun-2019, 210.70, 211.50, 218.85, 205.05, 208.50, 210.50, 212.64, 5677, 12.07, 497, 3010, 53.02
63MOONS, EQ, 10-Jun-2019, 116.80, 113.50, 116.45, 111.00, 111.00, 111.00, 112.71, 107862, 121.57, 1946, 64869, 60.14
8KMILES, EQ, 10-Jun-2019, 93.60, 95.00, 95.55, 92.20, 92.75, 93.00, 93.41, 56654, 52.92, 941, 31440, 55.49
A2ZINFRA, EQ, 10-Jun-2019, 15.45, 15.50, 15.75, 14.55, 15.20, 15.25, 14.99, 173920, 26.07, 686, 123652, 71.10
AARON, SM, 10-Jun-2019, 46.25, 47.50, 47.50, 47.50, 47.50, 47.50, 47.50, 3000, 1.43, 1, 3000, 100.00
AARTIDRUGS, EQ, 10-Jun-2019, 536.75, 538.00, 546.00, 536.30, 542.00, 543.50, 540.84, 10235, 55.36, 902, 7507, 73.35
AARTIIND, EQ, 10-Jun-2019, 1783.70, 1794.80, 1812.00, 1736.15, 1740.00, 1744.60, 1760.74, 142500, 2509.06, 8300, 103851, 72.88
AARVEEDEN, EQ, 10-Jun-2019, 22.65, 23.10, 23.10, 22.50, 22.95, 22.75, 22.64, 4059, 0.92, 40, 3286, 80.96
AARVI, SM, 10-Jun-2019, 34.90, 35.00, 35.00, 35.00, 35.00, 35.00, 35.00, 4000, 1.40, 2, 4000, 100.00
AAVAS, EQ, 10-Jun-2019, 1413.80, 1412.70, 1429.95, 1386.00, 1391.00, 1393.55, 1396.33, 37658, 525.83, 5649, 27006, 71.71
ABAN, BE, 10-Jun-2019, 46.40, 47.50, 47.50, 44.85, 45.35, 45.30, 45.67, 44269, 20.22, 584, -, -
ABB, EQ, 10-Jun-2019, 1564.15, 1563.15, 1629.00, 1552.20, 1564.40, 1563.40, 1592.52, 196369, 3127.22, 12114, 59357, 30.23
ABBOTINDIA, EQ, 10-Jun-2019, 7965.35, 7965.00, 8340.00, 7920.15, 8330.00, 8282.45, 8171.88, 11342, 926.85, 2813, 6289, 55.45
ABCAPITAL, EQ, 10-Jun-2019, 99.05, 99.70, 100.00, 96.00, 96.95, 97.10, 97.94, 1264208, 1238.15, 11730, 642832, 50.85
ABFRL, EQ, 10-Jun-2019, 218.20, 217.10, 222.50, 216.00, 219.20, 220.50, 219.88, 614270, 1350.64, 9836, 346368, 56.39
ABSLNN50ET, EQ, 10-Jun-2019, 274.01, 275.73, 275.73, 274.14, 275.03, 275.03, 274.77, 206, 0.57, 9, 204, 99.03
ACC, EQ, 10-Jun-2019, 1596.50, 1608.90, 1614.85, 1584.00, 1588.95, 1589.40, 1595.39, 433071, 6909.16, 18511, 46505, 10.74
ACCELYA, EQ, 10-Jun-2019, 879.05, 879.10, 896.50, 879.10, 895.00, 889.25, 891.22, 1455, 12.97, 256, 1142, 78.49
ACCURACY, SM, 10-Jun-2019, 63.90, 60.75, 60.75, 60.75, 60.75, 60.75, 60.75, 1600, 0.97, 1, 1600, 100.00
ACE, EQ, 10-Jun-2019, 100.65, 101.00, 102.45, 100.00, 100.05, 100.35, 100.68, 91449, 92.07, 715, 66653, 72.89
ADANIENT, EQ, 10-Jun-2019, 151.35, 152.00, 155.50, 147.00, 150.10, 149.95, 150.98, 3967379, 5989.96, 23758, 376103, 9.48
ADANIGAS, EQ, 10-Jun-2019, 169.90, 171.60, 173.55, 169.50, 170.40, 170.65, 171.46, 585996, 1004.72, 5635, 176125, 30.06
ADANIGREEN, EQ, 10-Jun-2019, 43.25, 43.95, 44.10, 42.80, 42.95, 42.90, 43.35, 572040, 247.97, 2619, 303291, 53.02
ADANIPORTS, EQ, 10-Jun-2019, 425.20, 424.10, 429.50, 420.60, 425.60, 425.75, 424.69, 2374282, 10083.37, 29176, 665361, 28.02
ADANIPOWER, EQ, 10-Jun-2019, 47.35, 47.55, 48.35, 46.35, 47.55, 47.35, 47.32, 7790036, 3686.09, 15887, 851002, 10.92
ADANITRANS, EQ, 10-Jun-2019, 222.60, 224.00, 229.20, 221.80, 226.60, 224.95, 225.41, 48964, 110.37, 2397, 23164, 47.31
ADFFOODS, EQ, 10-Jun-2019, 287.55, 289.50, 298.90, 284.20, 296.50, 296.55, 294.51, 86153, 253.73, 1832, 28668, 33.28
ADHUNIK, BE, 10-Jun-2019, 1.75, 1.75, 1.80, 1.70, 1.70, 1.70, 1.73, 32389, 0.56, 35, -, -
ADHUNIKIND, EQ, 10-Jun-2019, 82.75, 84.00, 85.00, 82.90, 82.90, 83.60, 83.84, 7870, 6.60, 72, 6403, 81.36
ADLABS, EQ, 10-Jun-2019, 7.20, 7.05, 7.20, 5.80, 6.15, 6.05, 6.02, 1362457, 81.99, 1690, 754359, 55.37
ADORWELD, EQ, 10-Jun-2019, 352.60, 353.10, 358.00, 346.00, 346.70, 347.00, 349.55, 2568, 8.98, 184, 1895, 73.79
ADROITINFO, BE, 10-Jun-2019, 13.50, 13.00, 13.00, 13.00, 13.00, 13.00, 13.00, 5, 0.00, 2, -, -
ADSL, EQ, 10-Jun-2019, 16.50, 16.20, 16.75, 15.50, 15.95, 15.80, 15.94, 6283, 1.00, 46, 4852, 77.22
ADVANIHOTR, EQ, 10-Jun-2019, 63.80, 63.65, 64.90, 63.10, 63.15, 64.20, 63.84, 3590, 2.29, 65, 1035, 28.83
ADVENZYMES, EQ, 10-Jun-2019, 210.20, 210.00, 211.85, 183.00, 194.00, 194.80, 193.34, 619693, 1198.13, 10137, 172664, 27.86
AEGISCHEM, EQ, 10-Jun-2019, 222.20, 221.00, 224.00, 217.00, 222.45, 220.90, 221.40, 130143, 288.13, 5939, 70488, 54.16
AGARIND, EQ, 10-Jun-2019, 148.60, 148.60, 149.90, 140.05, 142.25, 142.00, 145.35, 2645, 3.84, 100, 2161, 81.70
AGCNET, EQ, 10-Jun-2019, 110.50, 110.15, 114.00, 110.00, 110.00, 110.00, 110.05, 1932, 2.13, 38, 1477, 76.45
AGLSL, EQ, 10-Jun-2019, 56.85, 57.90, 57.95, 55.10, 55.10, 55.10, 55.43, 3056, 1.69, 15, 3039, 99.44
AGRITECH, EQ, 10-Jun-2019, 57.60, 57.05, 58.00, 52.50, 52.85, 53.25, 54.98, 33900, 18.64, 663, 27002, 79.65
AGROPHOS, BE, 10-Jun-2019, 79.55, 79.80, 80.00, 79.50, 80.00, 80.00, 79.95, 24164, 19.32, 51, -, -
AHIMSA, SM, 10-Jun-2019, 29.75, 30.35, 30.35, 30.35, 30.35, 30.35, 30.35, 12000, 3.64, 2, 12000, 100.00
AHLEAST, EQ, 10-Jun-2019, 197.90, 193.60, 199.80, 193.55, 195.10, 195.15, 195.71, 2015, 3.94, 106, 1635, 81.14
AHLUCONT, EQ, 10-Jun-2019, 341.70, 344.90, 352.00, 330.15, 338.90, 339.05, 340.31, 4831, 16.44, 482, 2177, 45.06
AHLWEST, EQ, 10-Jun-2019, 337.65, 334.80, 346.85, 334.80, 346.85, 346.85, 345.34, 8, 0.03, 3, 8, 100.00
AIAENG, EQ, 10-Jun-2019, 1826.55, 1826.55, 1845.00, 1820.05, 1845.00, 1842.10, 1838.22, 10038, 184.52, 939, 4433, 44.16
AIFL, BZ, 10-Jun-2019, 4.95, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4864, 0.23, 17, -, -
AIONJSW, EQ, 10-Jun-2019, 20.45, 20.45, 20.85, 20.00, 20.30, 20.20, 20.18, 19009, 3.84, 124, 17037, 89.63
